"(*sync.Pool).Get" "internal/race.Disable"
"(*sync.Pool).pin" "sync.runtime_procPin"
"(*sync.Pool).pin" "sync.runtime_LoadAcquintptr"
"(*sync.Pool).pin" "sync.indexLocal"
"(*sync.Pool).pinSlow" "sync.runtime_procUnpin"
"(*sync.Mutex).Lock" "sync/atomic.CompareAndSwapInt32"
"(*sync.Mutex).lockSlow" "sync.runtime_canSpin"
"(*sync.Mutex).lockSlow" "sync.runtime_doSpin"
"(*sync.Mutex).lockSlow" "sync/atomic.CompareAndSwapInt32"
"(*sync.Mutex).lockSlow" "sync/atomic.CompareAndSwapInt32"
"(*sync.Mutex).lockSlow" "sync.throw"
"(*sync.Mutex).lockSlow" "sync.runtime_nanotime"
"(*sync.Mutex).lockSlow" "sync.runtime_SemacquireMutex"
"(*sync.Mutex).lockSlow" "sync.runtime_nanotime"
"(*sync.Mutex).lockSlow" "sync.throw"
"(*sync.Mutex).lockSlow" "sync/atomic.AddInt32"
"(*sync.Mutex).lockSlow" "internal/race.Acquire"
"(*sync.Mutex).Lock" "(*sync.Mutex).lockSlow"
"(*sync.Mutex).Lock" "internal/race.Acquire"
"(*sync.Pool).pinSlow" "(*sync.Mutex).Lock"
"(*sync.Mutex).Unlock" "internal/race.Release"
"(*sync.Mutex).Unlock" "sync/atomic.AddInt32"
"(*sync.Mutex).unlockSlow" "sync.fatal"
"(*sync.Mutex).unlockSlow" "sync.runtime_Semrelease"
"(*sync.Mutex).unlockSlow" "sync/atomic.CompareAndSwapInt32"
"(*sync.Mutex).unlockSlow" "sync.runtime_Semrelease"
"(*sync.Mutex).Unlock" "(*sync.Mutex).unlockSlow"
"(*sync.Pool).pinSlow" "(*sync.Mutex).Unlock"
"(*sync.Pool).pinSlow" "sync.runtime_procPin"
"(*sync.Pool).pinSlow" "sync.indexLocal"
"runtime.lock" "runtime.getLockRank"
"runtime.lock2" "runtime.getg"
"runtime.throw" "runtime.systemstack"
"runtime.fatalthrow" "runtime.getcallerpc"
"runtime.fatalthrow" "runtime.getcallersp"
"runtime.fatalthrow" "runtime.getg"
